pid,name,title,description,preview,url,year,stylecat,department,division
69,John Nickle,Nickle noir : the art of John Nickle,"""Nickle is a conjurer of dread and remembrance. His works quickly bypass conscious examination and lodge themselves in the space between sleep and wakefulness. This is a book of dark joy. Welcome and beware."" -p.g. sturges, author of SHORTCUT MAN and ANGEL'S GATE""Don't take a wooden nickel-take a noir one. NICKLE NOIR, that is. This collection of rich, provocative, and all-together memorable book covers and artworks by the famed illustrator John Nickle is not only priceless, but a vivid, technicolor reminder that noir is more than a rainy street corner in black and white. With a style that shows the influence of Thomas Hart Benton and Grant Wood, Nickle neatly encapsulates the birth of noir as a literary form and artistically catapults it to a present both immediate and timeless. Any lover of noir-in book or film, in oils or celluloid-will savor a copy. Three cheers to Black Scat books for this terrific collection!""-Kelli Stanley, award-winning author of CITY OF DRAGONSFor over 25 years John Nickle has illustrated books, book covers, newspaper and magazine articles. He is well known for his noir cover art, created using colored pencils and acrylics. His moody images possess rich textured tones and eerie shadows, and are often marked by a dark sense of humor. This limited edition collection features full color reproductions of this award-winning illustrator's best work - including his classic covers for Vintage / Black Lizard's ""Martin Beck"" novels.",https://books.google.com/books?id=oI2fnAEACAAJ,,2013,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000141813,Fine Arts,Art & Design
70,Kyunghee Pyun,"Coloring time : an exhibition from the Archive of Korean-American Artists : part one, 1955-1989","""Many talented young Korean-American artists lived and worked in the 1980s. This exhibition catalogue presents a group of the first generations who set up their studios in the greater New York area in the 1960s to the 1980s. The exhibition catalogue of Coloring Time include [sic] scholarly essays along with documents, photographs, drawings and sketches of Korean America [sic] as well as their early works classified into three to five themes in order to show a creative journey of Korean contemporary art transplanted in the US.""--Page 4 of cover.",https://books.google.com/books?id=YKs_CwAAQBAJ,https://books.google.com/books/content?id=YKs_CwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2013,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000141291,History of Art,Liberal Arts
71,Lidewij Edelkoort,Fetishism in fashion,"This book delves into the fetishistic world of contemporary fashion to reveal a daring and instinctive future for style and culture. It investigates topics including the evolution of taste from birth to adulthood, the elevation of shoes through ever-higher heels, the psychology of branding, the effects of infantilism, the power of the color black, the fetishizing of objects, and the interaction of architecture, fashion, and the body.",https://books.google.com/books?id=NlZ6mgEACAAJ,https://books.google.com/books/content?id=NlZ6mgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2013,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000141777,,
72,Marnie Fogg,Fashion : the whole story,"The second volume in Prestel's Whole story series is a lavish, nicely priced, and authoritative book tracing the complete evolution of fashion, from togas to Tory Burch. It profiles fashion icons to show how one designer or style influences another, explains the impact of cultural and historical events on daily wear, and demonstrates how technical innovation can take fashion in new directions. Engaging, all-encompassing, and overflowing with illustrations, this is an indispensable resource for anyone who loves fashion.",https://books.google.com/books?id=mDn1mgEACAAJ,https://books.google.com/books/content?id=mDn1mgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2013,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000143261,,
73,Michelle Tolini Finamore,Hollywood before glamour : fashion in American silent film,"This exploration of fashion in American silent film offers fresh perspectives on the era preceding the studio system, and the evolution of Hollywood's distinctive brand of glamour. By the 1910s, the moving image was an integral part of everyday life and communicated fascinating, but as yet un-investigated, ideas and ideals about fashionable dress.",https://books.google.com/books?id=6tyrzFf27usC,https://books.google.com/books/content?id=6tyrzFf27usC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2013,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000144426,FIT Alumni,Graduate Studies
74,Ninotchka Bennahum,100 years of flamenco in New York City,,https://books.google.com/books?id=Btm7nQEACAAJ,,2013,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000139798,,
75,Patrice Farameh,For the love of shoes,"Women have long realized that cool shoes do not only complement the outfit, they are the whole point. From Cinderella to Carrie, we have all fallen head over heels for ""the right pair"" - and to hell with cost or comfort! This book explores the outer realms of avant-garde shoe design. Unfettered by commercialism, these pioneering designers give full rein to their artistic visions. These zany pieces contain an array of extraordinary forms and materials. With influences ranging from Las Vegas pizzazz and arcane tribal relics to contemporary architecture, it may be difficult to distinguish between fun footwear and conceptual sculpture.",https://books.google.com/books?id=VjUbjgEACAAJ,https://books.google.com/books/content?id=VjUbjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2013,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000142470,,
76,Roger Padilha,"Antonio Lopez fashion, art, sex & disco","The first complete monograph on Antonio Lopez, the influential Warholian fashion illustrator of the 1960s, '70s, and '80s. Best known for dazzling illustrations in Women's Wear Daily, Vogue, the New York Times, Interview, and for high fashion labels, Antonio Lopez (1943-1987) was a force majeur in the fashion world for three decades. In the '60s, Lopez's vibrant illustrations helped usher youth culture into the pages of magazines, setting a new, free-flowing, sexually liberated standard for fashion imagery. Living in Paris during the 70s with his creative partner Juan Ramos, Lopez launched the modeling careers of Jerry Hall, Grace Jones, and Jessica Lange among others, worked with design royalty like Karl Lagerfeld and Yves Saint Laurent, and cultivated a soign� nightlife persona in the blistering-hot underground clubs of Paris. Returning to New York City in 1976, Antonio documented the sexy influence of athletic-wear, puffy, down coats, and break-dancing style, inspiring such designers as Norma Kamali and Anna Sui. Widely recognized during this period as the world's most influential fashion illustrator, Antonio's work took on a deeper, more sculptural dimension in the 80s, richly detailed, with a vivid palette, and heroic proportions and poses. So deft and varied in his expression, Antonio Lopez simultaneously executed campaigns for labels as diverse as Norma Kamali, YSL, Valentino, Missoni, and Versace--an unprecedented feat in a highly competitive industry. The prolific Lopez produced an incredible number of drawings, illustrations, paintings, photographs, and fantastic mixed-media journals, and this book showcases his most iconic works, as well as never-before-seen Instamatic photos, behind-the-scenes Polaroids, letters, and ephemera which, together, provide an understanding of the career trajectory of an extraordinarily talented artist, and convey Antonio Lopez's enduring influence on fashion today. ""I'm from the generation that came to New York to meet their idols. In my case it was Andy Warhol and Antonio Lopez."" --Anna Sui",https://books.google.com/books?id=2wtwDwAAQBAJ,https://books.google.com/books/content?id=2wtwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2013,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000142211,,
77,Sass Brown,Refashioned : cutting-edge clothing from upcycled materials,"The area of recycling and upcycling is a rich and growing source of innovative design in the fashion and accessories industries. In a fast-fashion world of throw-away clothing, it is the ultimate expression of the slow-fashion movement, with each piece individually conceived and crafted from scratch, using different materials each time. ReFashioned features 46 international designers who work with recycled materials and discarded garments, reinvigorating them with new life and value. The result is beautiful and desirable clothing and accessories that also make an important statement to the fashion world about its wasteful and exploitative practices.",https://books.google.com/books?id=NE57mAEACAAJ,https://books.google.com/books/content?id=NE57mAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2013,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000142206,,
78,Valerie Steele,A queer history of fashion : from the closet to the catwalk,An unprecedented in-depth exploration of the complex interrelationship between high fashion and queer history and culture,https://books.google.com/books?id=oJiQmwEACAAJ,https://books.google.com/books/content?id=oJiQmwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2013,https://fit.sunyconnect.suny.edu:4699/F?func=direct&doc_number=000141856,Museum at FIT,Museum at FIT
